event.id,heading,height.above.ellipsoid,migration.stage,optional,sensor,timestamps,trackId,individual.local.identifier,visible,individual.id,deployment.id,tag.id,study.id,sensor.type.id,tag.local.identifier,individual.taxon.canonical.name,migration.stage.standard,study.name,birth.hatch.latitude,birth.hatch.longitude,comments,death.comments,earliest.date.born,exact.date.of.birth,group.id,latest.date.born,marker.id,mates,mortality.date,mortality.latitude,mortality.longitude,mortality.type,nick.name,offspring,parents,ring.id,sex,siblings,taxon.canonical.name,timestamp.start,timestamp.end,number.of.events,number.of.deployments,sensor.type.ids,taxon.detail,animalName,geometry,location.long,location.lat
1149956777,0.79,33.0,stopover,True,GPS,2013-09-14 18:27:53,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.068833 67.122583),48.068833,67.122583
1149956778,2.83,33.0,stopover,True,GPS,2013-09-14 23:17:58,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.068917 67.122667),48.068917,67.122667
1149956779,1.08,58.0,stopover,True,GPS,2013-09-15 01:49:55,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.102783 67.133833),48.102783,67.133833
1149956780,2.37,81.0,stopover,True,GPS,2013-09-15 04:23:11,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.110133 67.129183),48.110133,67.129183
1149956781,2.03,35.0,stopover,True,GPS,2013-09-15 12:02:39,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.08095 67.148),48.08095,67.148
1149956782,1.1,30.0,stopover,True,GPS,2013-09-15 14:20:22,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.116933 67.134383),48.116933,67.134383
1149956783,1.32,52.0,stopover,True,GPS,2013-09-15 16:53:32,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.110267 67.133467),48.110267,67.133467
1149956784,1.0,59.0,stopover,True,GPS,2013-09-15 19:10:47,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.038467 67.131033),48.038467,67.131033
1149956785,1.05,35.0,stopover,True,GPS,2013-09-15 21:42:57,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.037367 67.131083),48.037367,67.131083
1149956786,1.09,42.0,stopover,True,GPS,2013-09-16 00:00:24,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.037183 67.1311),48.037183,67.1311
1149956787,1.56,38.0,stopover,True,GPS,2013-09-16 02:32:36,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.000883 67.127983),48.000883,67.127983
1149956788,1.79,23.0,stopover,True,GPS,2013-09-16 04:50:13,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.02595 67.138733),48.02595,67.138733
1149956789,2.57,,stopover,True,GPS,2013-09-16 07:23:11,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.974783 67.141867),47.974783,67.141867
1149956790,2.04,33.0,stopover,True,GPS,2013-09-16 09:55:53,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.9684 67.141467),47.9684,67.141467
1149956791,1.11,31.0,stopover,True,GPS,2013-09-16 12:15:38,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.970083 67.1375),47.970083,67.1375
1149956792,3.34,47.0,stopover,True,GPS,2013-09-16 14:47:21,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.01745 67.127),48.01745,67.127
1149956793,1.48,31.0,stopover,True,GPS,2013-09-16 17:05:25,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.998083 67.1268),47.998083,67.1268
1149956794,0.87,43.0,stopover,True,GPS,2013-09-16 19:37:40,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.998083 67.126833),47.998083,67.126833
1149956795,1.37,40.0,stopover,True,GPS,2013-09-16 21:55:38,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.00045 67.125833),48.00045,67.125833
1149956796,1.44,40.0,stopover,True,GPS,2013-09-17 00:27:14,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.000667 67.125733),48.000667,67.125733
1149956797,1.38,47.0,stopover,True,GPS,2013-09-17 02:45:26,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.064233 67.12655),48.064233,67.12655
1149956798,1.96,39.0,stopover,True,GPS,2013-09-17 05:18:02,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.078017 67.123317),48.078017,67.123317
1149956799,1.23,42.0,stopover,True,GPS,2013-09-17 07:35:23,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.085833 67.122033),48.085833,67.122033
