"event.id","location.long","location.lat","heading","height.above.ellipsoid","migration.stage","optional","sensor","timestamps","trackId","individual.local.identifier","visible","individual.id","deployment.id","tag.id","study.id","sensor.type.id","tag.local.identifier","individual.taxon.canonical.name","migration.stage.standard","study.name","birth.hatch.latitude","birth.hatch.longitude","comments","death.comments","earliest.date.born","exact.date.of.birth","group.id","latest.date.born","marker.id","mates","mortality.date","mortality.latitude","mortality.longitude","mortality.type","nick.name","offspring","parents","ring.id","sex","siblings","taxon.canonical.name","timestamp.start","timestamp.end","number.of.events","number.of.deployments","sensor.type.ids","taxon.detail","animalName"
1149956772,48.112517,67.12295,1.83,NA,"stopover",TRUE,"GPS",2013-09-13 15:13:04,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956773,48.136633,67.120883,0,0,"stopover",TRUE,"GPS",2013-09-14 00:52:45,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956774,48.1427,67.1127,1.71,38,"stopover",TRUE,"GPS",2013-09-14 03:10:20,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956775,48.082483,67.1415,1.56,61,"stopover",TRUE,"GPS",2013-09-14 11:04:19,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956776,48.093533,67.139017,1.42,28,"stopover",TRUE,"GPS",2013-09-14 13:37:41,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956777,48.068833,67.122583,0.79,33,"stopover",TRUE,"GPS",2013-09-14 18:27:53,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956778,48.068917,67.122667,2.83,33,"stopover",TRUE,"GPS",2013-09-14 23:17:58,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956779,48.102783,67.133833,1.08,58,"stopover",TRUE,"GPS",2013-09-15 01:49:55,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956780,48.110133,67.129183,2.37,81,"stopover",TRUE,"GPS",2013-09-15 04:23:11,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956781,48.08095,67.148,2.03,35,"stopover",TRUE,"GPS",2013-09-15 12:02:39,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
